"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
5978;144;201,8938585352;"3-56%;1-44%";"Hetraie";1;27,1857143583752;26,5;21
5978;168;197,8028801368;"1-70%;3-30%";"Chenaie";1;26,5437499284744;26;16
5978;170;255,319569928;"1-76%;41-24%";"Chenaie";1;26,8812501430511;26,5;16
5978;171;203,9831552616;"3-97%;41-3%";"Hetraie";1;24,9722228580051;24,2000007629395;18
5978;181;219;"1-100%";"Chenaie";1;27,6157888111315;27,7999992370605;19
5978;182;250;"1-77%;3-23%";"Chenaie";1;30,299999554952;30,3999996185303;18
5978;183;158;"1-100%";"Chenaie";1;31,4687496423721;31,1000003814697;16
5978;184;155;"1-100%";"Chenaie";1;24,84444448683;24,1499996185303;18
5978;187;159;"3-100%";"Hetraie";1;31,7157890922145;31,3999996185303;19
5978;189;247;"3-72%;1-28%";"Hetraie";1;29,2055554919773;29,5;18
5978;201;233,807488704;"3-100%";"Hetraie";1;29,377777311537;30,2999992370605;18
5978;202;215;"1-68%;3-32%";"Chenaie";1;28,9055557250977;29,6000003814697;18
5978;203;171;"3-100%";"Hetraie";1;25,4944445292155;25,3000001907349;18
5978;204;246;"3-74%;1-26%";"Hetraie";1;29,6312495470047;29,2999992370605;16
5978;206;225,4781314132;"3-100%";"Hetraie";1;30,1315788469817;30;19
5978;208;221,7548799062;"3-100%";"Hetraie";1;25,1277777353923;26,7000007629395;18
5978;209;232;"3-79%;1-21%";"Hetraie";1;28,1952382950556;28,6000003814697;21
5978;221;236,8676061488;"3-51%;1-49%";"Hetraie";1;30,3375000953674;29,5;16
5978;222;187,9663105232;"3-78%;1-22%";"Hetraie";1;27,7166667514377;28,5;18
5978;224;223,8724612664;"3-55%;1-45%";"Hetraie";1;25,1874995231628;25,3999996185303;16
5978;225;218,8830509172;"3-100%";"Hetraie";1;29,8312501907349;29,8999996185303;16
5978;227;252;"3-100%";"Hetraie";1;30,6000006198883;30,7000007629395;16
5978;229;220,541713592;"3-84%;4-16%";"Hetraie";1;25,1187500953674;27,1000003814697;16
5978;241;239,9824379203;"3-99%;41-1%";"Hetraie";1;25,3266663869222;25,3999996185303;15
